splitter_id,parent_pon,ratio,loss_db
1,8,32,4.111604131922601
2,7,32,8.557270297457361
3,67,4,11.949108862142191
4,17,16,10.292339490831184
5,33,32,15.062612856042351
6,48,8,12.392364026855757
7,76,4,5.699614765599301
8,59,32,4.4526780899058025
9,22,32,12.17266025578526
10,30,8,3.8579026923118946
11,38,16,11.407970347191753
12,51,16,16.19310825923693
13,54,16,11.268901401324367
14,8,32,8.740294003788046
15,27,32,12.184390948971767
16,27,32,9.686414021635475
17,21,4,10.865826655765122
18,30,8,16.20977491848309
19,28,32,8.712385610310452
20,64,8,16.47607261162284
21,69,8,15.722233666406861
22,61,16,6.143180319655502
23,48,4,4.436377561814734
24,19,32,4.86050301859526
25,4,16,3.7459946462959213
26,35,16,4.774979970205033
27,64,32,12.720591441120817
28,49,8,4.461046754213092
29,17,16,7.806171008965777
30,44,8,14.905816698087637
31,30,4,3.8141711324336494
32,46,8,14.495324514950633
33,6,4,7.3050394594408985
34,37,8,5.095225172892359
35,24,16,12.905951732416034
36,46,16,11.990728431528433
37,53,4,15.345872182615215
38,60,32,13.423459091352457
39,63,4,14.346992560195456
40,32,4,7.307466729712638
41,33,8,5.895433841026258
42,67,8,13.633299147151588
43,18,4,14.392268980108064
44,25,16,16.87181941700909
45,54,8,9.070338638304257
46,58,32,8.522244158202572
47,67,8,13.981574970016958
48,46,8,8.100847793415742
49,24,32,16.065223895648124
50,32,4,15.08857214988066
51,47,32,9.291419369562748
52,23,4,13.636759415185214
53,66,4,13.686328800143212
54,27,4,4.89217222928509
55,2,32,15.68446424017415
56,17,4,10.320907028046072
57,33,16,14.657175792454511
58,9,32,7.8206696139132585
59,43,16,15.589563584698706
60,48,4,8.754222662911202
61,39,8,3.6463082949840278
62,42,4,15.722656681660059
63,26,16,4.732370136612803
64,50,16,7.8107341074706005
65,25,32,16.325836555185866
66,24,8,16.333196483657005
67,13,32,11.241411489664362
68,60,16,12.02980236429229
69,7,4,9.554014546707318
70,57,8,7.458345417923871
71,36,4,7.936971362493866
72,45,4,12.578999157040018
73,20,8,13.65705614740868
74,65,32,14.186317090298955
75,8,4,14.159844927726478
76,16,16,4.73128239115732
77,14,4,10.17467411348485
78,76,8,4.277043260224698
79,15,8,10.91863991137043
80,66,8,9.46066176854059
81,32,32,15.484006467237046
82,63,4,8.237352669453063
83,51,32,5.080404721772679
84,25,32,5.430387707713284
85,58,8,13.780393528185876
86,63,8,11.845943854769525
87,62,32,4.865156127657668
88,22,4,4.635441882552465
89,58,16,12.96308327469812
90,58,32,4.4823005859166125
91,49,4,14.595110800419809
92,52,8,13.034270066612699
93,42,8,4.598208538665647
94,70,4,4.645309140150091
95,15,16,16.819634309765867
96,54,8,8.552655742707625
97,60,8,8.503668985403028
98,8,8,14.472794157976285
99,53,4,16.287855794682095
100,60,32,16.811014361608756
